圖片名稱,分數
1_3_structure.png,4
10_3_structure.png,7
11_3_structure.png,7
12_3_structure.png,7
14_3_structure.png,6
1pg06_3_structure.png,9
1pg09-1_3_structure.png,9
1pg09-2_3_structure.png,9
1pg13-1_3_structure.png,9
1pg14-2_3_structure.png,10
1xg1-2_3_structure.png,10
2_3_structure.png,10
2xg1_3_structure.png,10
2xg2-1_3_structure.png,10
2xg2-2_3_structure.png,10
2xg3_3_structure.png,7
2xg4_3_structure.png,4
2xg5_3_structure.png,7
2xg6_3_structure.png,10
2xg7_3_structure.png,4
2xg8_3_structure.png,4
2xg9_3_structure.png,4
a_3_structure.png,8
b_3_structure.png,1
c_3_structure.png,8
d_3_structure.png,9
