idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,64,120,224,110,182,224,132,145,70,50799,0.2860239634242472
2,48,168,224,100,200,224,166,114,91,38056,0.2142744532780793
3,32,160,216,99,217,216,158,114,90,24558,0.13827391274971285
4,232,224,176,26,62,232,226,123,153,16734,0.0942208508817369
5,240,112,192,161,136,240,166,186,109,12664,0.07130470034458683
6,8,120,192,102,244,192,124,127,83,10829,0.06097272583950812
7,128,112,112,0,32,128,124,134,130,9440,0.053151956037026195
8,128,112,111,2,34,128,124,134,131,6701,0.03773000608094412
9,192,48,56,178,191,192,111,185,159,3293,0.01854124907096687
10,24,56,120,110,204,120,64,141,88,2774,0.015619017589693926
11,56,88,96,96,106,96,90,118,120,1756,0.009887164703497668
