名稱,顏色種類,顏色詳情
1,2,"猩紅色/緋紅 (Crimson)(232,24,32)、秘魯色 (Peru)(184,120,80)"
10,7,"橄欖褐 (Olive Drab)(96,128,32)、森林綠 (Forest Green)(32,96,64)、藍綠/水鴨色 (Teal)(8,96,144)、馬鞍棕色 (Saddle Brown)(80,56,48)、森林綠 (Forest Green)(40,72,48)、實木棕 (Burly Wood)(224,192,96)、卡其色 (Khaki)(216,216,112)"
11,9,"灰色 (Gray)(136,136,128)、暗灰色 (Dim Gray)(136,80,96)、暗灰色 (Dim Gray)(80,48,64)、森林綠 (Forest Green)(32,88,32)、暗灰色 (Dim Gray)(88,72,104)、暗灰色 (Dim Gray)(88,64,88)、暗灰色 (Dim Gray)(144,80,104)、栗色/酒紅 (Maroon)(72,24,32)、黑色 (Black)(56,48,40)"
12,1,"灰色 (Gray)(136,136,128)"
14,3,"實木棕 (Burly Wood)(184,176,136)、灰色 (Gray)(144,136,120)、灰色 (Gray)(152,136,128)"
1pg06,1,"天藍色 (Sky Blue)(104,216,248)"
1pg09-1,1,"鮭魚紅 (Salmon)(208,112,128)"
1pg09-2,1,"鮭魚紅 (Salmon)(208,104,128)"
1pg13-1,5,"鮭魚紅 (Salmon)(216,80,104)、鋼青色 (Steel Blue)(96,104,192)、藍綠/水鴨色 (Teal)(8,88,160)、鋼青色 (Steel Blue)(24,136,200)、黑色 (Black)(40,40,56)"
1pg14-2,7,"鮭魚紅 (Salmon)(216,88,104)、亮粉紅色 (Hot Pink)(240,96,176)、淺綠色 (Light Green)(128,200,104)、森林綠 (Forest Green)(32,112,80)、寶石藍 (Royal Blue)(48,104,216)、道奇藍 (Dodger Blue)(24,128,216)、綠松石色 (Turquoise)(80,208,240)"
1xg1-2,9,"鮭魚紅 (Salmon)(216,80,104)、寶石藍 (Royal Blue)(80,128,224)、亮粉紅色 (Hot Pink)(232,112,200)、淺綠色 (Light Green)(184,224,160)、銀色 (Silver)(168,184,192)、灰色 (Gray)(152,144,144)、實木棕 (Burly Wood)(224,192,160)、灰色 (Gray)(144,128,120)、銀色 (Silver)(160,160,216)"
2,4,"暗灰色 (Dim Gray)(104,104,104)、黑色 (Black)(0,0,0)、銀色 (Silver)(176,176,176)、灰色 (Gray)(136,136,136)"
2xg1,2,"鮭魚紅 (Salmon)(216,128,152)、黑色 (Black)(16,16,16)"
2xg2-1,3,"亮粉紅色 (Hot Pink)(240,112,192)、天藍色 (Sky Blue)(120,216,240)、黑色 (Black)(8,8,8)"
2xg2-2,1,"亮粉紅色 (Hot Pink)(240,112,192)"
2xg3,6,"海藍綠 (Medium Sea Green)(104,192,112)、亮粉紅色 (Hot Pink)(208,104,160)、梅紅色 (Plum)(224,160,208)、暗灰色 (Dim Gray)(104,104,96)、綠松石色 (Turquoise)(56,200,224)、秘魯色 (Peru)(200,120,96)"
2xg4,2,"鮭魚紅 (Salmon)(208,120,136)、梅紅色 (Plum)(232,152,224)"
2xg5,8,"銀色 (Silver)(192,224,168)、猩紅色/緋紅 (Crimson)(208,40,56)、暗灰色 (Dim Gray)(120,88,88)、亮粉紅色 (Hot Pink)(208,96,152)、藍綠/水鴨色 (Teal)(16,120,80)、鋼青色 (Steel Blue)(16,112,192)、靛色/深紫 (Indigo)(56,56,128)、實木棕 (Burly Wood)(216,176,88)"
2xg6,11,"寶石藍 (Royal Blue)(64,120,224)、道奇藍 (Dodger Blue)(48,168,224)、道奇藍 (Dodger Blue)(32,160,216)、蒼白金 (Pale Goldenrod)(232,224,176)、亮粉紅色 (Hot Pink)(240,112,192)、深青色 (Dark Cyan)(8,120,192)、灰色 (Gray)(128,112,112)、灰色 (Gray)(128,112,111)、磚紅色 (Firebrick)(192,48,56)、深藍/海軍藍 (Navy)(24,56,120)、暗灰色 (Dim Gray)(56,88,96)"
2xg7,14,"梅紅色 (Plum)(232,160,240)、海藍綠 (Medium Sea Green)(80,168,72)、寶石藍 (Royal Blue)(48,104,208)、海藍綠 (Medium Sea Green)(104,176,144)、猩紅色/緋紅 (Crimson)(216,56,64)、森林綠 (Forest Green)(32,120,80)、灰色 (Gray)(168,128,128)、鋼青色 (Steel Blue)(112,120,200)、淺藍色 (Light Blue)(176,208,248)、淺綠色 (Light Green)(136,200,112)、灰色 (Gray)(168,128,127)、鋼青色 (Steel Blue)(40,136,208)、銀色 (Silver)(200,160,176)、綠松石色 (Turquoise)(80,184,224)"
2xg8,6,"矢車菊藍 (Cornflower Blue)(112,120,216)、亮粉紅色 (Hot Pink)(240,112,192)、淺綠色 (Light Green)(128,200,104)、鮭魚紅 (Salmon)(208,128,144)、綠松石色 (Turquoise)(88,184,224)、海藍綠 (Medium Sea Green)(88,176,72)"
2xg9,7,"亮粉紅色 (Hot Pink)(224,80,144)、猩紅色/緋紅 (Crimson)(208,40,48)、海藍綠 (Medium Sea Green)(72,160,120)、天藍色 (Sky Blue)(136,216,248)、天藍色 (Sky Blue)(152,216,248)、灰色 (Gray)(136,80,152)、鋼青色 (Steel Blue)(16,128,192)"
a,1,"寶石藍 (Royal Blue)(24,64,232)"
b,1,"寶石藍 (Royal Blue)(24,64,232)"
c,4,"寶石藍 (Royal Blue)(16,64,224)、金色 (Gold)(240,232,16)、金色 (Gold)(248,200,64)、猩紅色/緋紅 (Crimson)(224,48,48)"
d,5,"淺藍色 (Light Blue)(184,200,248)、蒼白金 (Pale Goldenrod)(248,232,168)、藍紫色 (Blue Violet)(144,56,232)、梅紅色 (Plum)(240,152,240)、猩紅色/緋紅 (Crimson)(232,56,56)"
