image,紙張方向,畫面弧度,線條流暢度,線條粗細,繪畫顏色RGB,繪畫顏色,顏色種類,陰影面積占繪畫比,陰影區域個數,繪畫最多區域,繪畫涵蓋區域,繪畫面積,筆跡深度(無法使用),繪畫內容,圖案佔繪畫內容比例,圖案佔紙張比例,事物動態性,情緒,文字
1.jpg,2,4,3,7,#E81820/#B87850,猩紅色/緋紅 (Crimson)/秘魯色 (Peru),2,0.627,5,A1,A1/A2/A3/B1/B2/B3,0.06,5,None,None,None,,,
10.jpg,2,7,10,9,#608020/#206040/#086090/#503830/#284830/#E0C060/#D8D870,橄欖褐 (Olive Drab)/森林綠 (Forest Green)/藍綠/水鴨色 (Teal)/馬鞍棕色 (Saddle Brown)/森林綠 (Forest Green)/實木棕 (Burly Wood)/卡其色 (Khaki),7,1,2,C1/C2/C3,A1/A2/A3/B1/B2/B3/C1/C2/C3,0.734,6,"tree: 4, grass: 3, sun: 2","tree1: 0.088, tree2: 0.084, tree3: 0.081, tree4: 0.081, grass1: 0.037, sun1: 0.023, grass2: 0.287, sun2: 0.039, grass3: 0.281","tree1: 0.115, tree2: 0.110, tree3: 0.107, tree4: 0.106, grass1: 0.049, sun1: 0.030, grass2: 0.377, sun2: 0.051, grass3: 0.369",1,,
11.jpg,2,7,10,9,#888880/#885060/#503040/#205820/#584868/#584058/#905068/#481820/#383028,灰色 (Gray)/暗灰色 (Dim Gray)/暗灰色 (Dim Gray)/森林綠 (Forest Green)/暗灰色 (Dim Gray)/暗灰色 (Dim Gray)/暗灰色 (Dim Gray)/栗色/酒紅 (Maroon)/黑色 (Black),9,0.981,5,C1/C2/C3,A1/A2/A3/B1/B2/B3/C1/C2/C3,0.627,5,"star: 6, person: 3","star1: 0.015, person1: 0.100, star2: 0.013, star3: 0.014, star4: 0.016, star5: 0.016, person2: 0.114, star6: 0.014, person3: 0.696","star1: 0.007, person1: 0.046, star2: 0.006, star3: 0.007, star4: 0.007, star5: 0.008, person2: 0.053, star6: 0.007, person3: 0.322",8,,
12.JPG,1,7,10,9,#888880,灰色 (Gray),1,0.996,4,A1/B1/C1,A1/A2/A3/B1/B2/B3/C1/C2/C3,0.623,5,"person: 1, sun: 1","person1: 0.557, sun1: 0.443","person1: 0.503, sun1: 0.399",10,,
14.jpg,2,6,8,9,#B8B088/#908878/#988880,實木棕 (Burly Wood)/灰色 (Gray)/灰色 (Gray),3,0.821,1,A3,A1/A2/A3/B1/B2/B3/C1/C2/C3,0.111,3,"house: 1, grass: 1, cloud: 1","house1: 0.507, grass1: 0.087, cloud1: 0.406","house1: 0.342, grass1: 0.058, cloud1: 0.274",1,,
1pg06.JPG,2,9,10,9,#68D8F8,天藍色 (Sky Blue),1,0,0,B1,A1/A2/A3/B1/B2/B3/C1/C2/C3,0.312,3,"house: 4, person: 1","house1: 0.184, house2: 0.103, house3: 0.263, house4: 0.155, person1: 0.295","house1: 0.121, house2: 0.068, house3: 0.173, house4: 0.102, person1: 0.194",3,,
1pg09-1.JPG,2,9,10,8,#D07080,鮭魚紅 (Salmon),1,0,0,C2,A2/A3/B2/C1/C2/C3,0.11,5,"cloud: 2, person: 3, sun: 1, house: 1","cloud1: 0.113, cloud2: 0.039, person1: 0.088, sun1: 0.066, person2: 0.079, person3: 0.165, house1: 0.452","cloud1: 0.018, cloud2: 0.006, person1: 0.014, sun1: 0.011, person2: 0.013, person3: 0.027, house1: 0.073",9,,
1pg09-2.JPG,2,9,10,8,#D06880,鮭魚紅 (Salmon),1,0,0,B2,A1/A2/B1/B2/B3/C1/C2/C3,0.12,5,"cloud: 2, person: 3, house: 1","cloud1: 0.153, person1: 0.116, cloud2: 0.048, house1: 0.439, person2: 0.148, person3: 0.096","cloud1: 0.018, person1: 0.014, cloud2: 0.006, house1: 0.052, person2: 0.017, person3: 0.011",10,,
1pg13-1.JPG,2,9,10,8,#D85068/#6068C0/#0858A0/#1888C8/#282838,鮭魚紅 (Salmon)/鋼青色 (Steel Blue)/藍綠/水鴨色 (Teal)/鋼青色 (Steel Blue)/黑色 (Black),5,0,0,A2,A1/A2/A3/B1/B2/B3/C1/C2/C3,0.53,5,"person: 3, house: 1","person1: 0.037, person2: 0.062, person3: 0.025, house1: 0.875","person1: 0.006, person2: 0.009, person3: 0.004, house1: 0.129",5,,
1pg14-2.JPG,1,10,10,10,#D85868/#F060B0/#80C868/#207050/#3068D8/#1880D8/#50D0F0,鮭魚紅 (Salmon)/亮粉紅色 (Hot Pink)/淺綠色 (Light Green)/森林綠 (Forest Green)/寶石藍 (Royal Blue)/道奇藍 (Dodger Blue)/綠松石色 (Turquoise),7,0.009,1,C3,A1/A2/A3/B1/B2/B3/C1/C2/C3,0.366,5,"house: 2, flower: 1, grass: 2, person: 1","house1: 0.308, flower1: 0.002, grass1: 0.170, person1: 0.007, house2: 0.399, grass2: 0.114","house1: 0.221, flower1: 0.001, grass1: 0.122, person1: 0.005, house2: 0.285, grass2: 0.081",2,,
